county,latitude,longitude,crop_name,soil_pH,nitrogen,phosphorus,potassium,organic_carbon,calcium,magnesium,target_fertilizer,rich_advice_text
Bungoma,0.5695,34.5584,Maize,5.65,0.12,19.0,0.28,1.19,5.8,1.61,NPK 17:17:17,"The soil reaction is strongly(1,2) acid to moderately acid (3,4). Nirtogen (1,2,3,4), Phosphorus(1,2,3,4), Organic carbon(1,4), Potassium(1,2,3,4), Calcium(1), Magnesium(1), Zinc(1), and Manganese(1) are deficiecient,. Liming is recommended for Farm 1 and 2 at the rate of 400kg/acre using dolomite or Koru Lime. Broadcast the lime after ploughing at leats 2 months before planting.  At planting place three handfull of well decomposed manure/compost into planting holes and mix with the soil. Apply 150kg/acre of N:P:K (17:17:17) fertilizer. Top dress with 150kg/acre using CAN. "
Bungoma,0.5695,34.5584,Maize,5.14,0.17,19.0,0.4,1.54,8.4,2.61,NPK 17:17:17,"The soil reaction is very strogly acid(8), strongly acid(5&6) to moderate acid(7). Nitrogen, Phosphorus and Zinc(8) are deficient. Liming is strongly recommended(5,6,8) at the rate of 800kg/acre of dolomitic/ Koru Lime. Broadcast lime after ploughing at least 2 months before planting. At planting place three handfull of well decomposed manure/compost into planting holes and mix with the soil. Apply 150kg/acre of N:P:K (17:17:17) fertilizer. Top dress with 150kg/acre using CAN. "
Bungoma,0.5695,34.5584,Maize,5.34,0.18,19.0,0.56,1.64,10.4,2.5,NPK 17:17:17,"The soil reaction is very strogly acid(8), strongly acid(5&6) to moderate acid(7). Nitrogen, Phosphorus and Zinc(8) are deficient. Liming is strongly recommended(5,6,8) at the rate of 800kg/acre of dolomitic/ Koru Lime. Broadcast lime after ploughing at least 2 months before planting. At planting place three handfull of well decomposed manure/compost into planting holes and mix with the soil. Apply 150kg/acre of N:P:K (17:17:17) fertilizer. Top dress with 150kg/acre using CAN. "
Bungoma,0.5695,34.5584,Maize,5.75,0.19,19.0,0.64,1.81,10.4,3.0,NPK 17:17:17,"The soil reaction is very strogly acid(8), strongly acid(5&6) to moderate acid(7). Nitrogen, Phosphorus and Zinc(8) are deficient. Liming is strongly recommended(5,6,8) at the rate of 800kg/acre of dolomitic/ Koru Lime. Broadcast lime after ploughing at least 2 months before planting. At planting place three handfull of well decomposed manure/compost into planting holes and mix with the soil. Apply 150kg/acre of N:P:K (17:17:17) fertilizer. Top dress with 150kg/acre using CAN. "
Bungoma,0.5695,34.5584,Maize,4.8,0.13,19.0,0.14,1.52,3.0,1.78,NPK 17:17:17,"The soil reaction is very strogly acid(8), strongly acid(5&6) to moderate acid(7). Nitrogen, Phosphorus and Zinc(8) are deficient. Liming is strongly recommended(5,6,8) at the rate of 800kg/acre of dolomitic/ Koru Lime. Broadcast lime after ploughing at least 2 months before planting. At planting place three handfull of well decomposed manure/compost into planting holes and mix with the soil. Apply 150kg/acre of N:P:K (17:17:17) fertilizer. Top dress with 150kg/acre using CAN. "
Bungoma,0.5695,34.5584,Maize,4.74,0.16,19.0,0.14,1.44,3.0,1.67,NPK 17:17:17,"The soil reaction is very strongly acid. Nitrogen, Phosphorus, Potassium and Zinc are deficient. Liming is strongly recommended at the rate of 800kg/acre of dolomitic/ Koru Lime. Broadcast lime after ploughing at least 2 months before planting. At planting place three handfull of well decomposed manure/compost into planting holes and mix with the soil. Mix 150kg of N:P:K (17:17:17) with 5kg Zinc Sulphate fertilizer and apply 4 bottle tops per planting hole.Top dress with 150kg/acre using CAN. "
Trans Nzoia,1.0581,34.9593,Cabbage,6.37,0.22,300.0,1.0,2.14,3.9,3.24,CAN,"The soil reaction (pH) is satisfactory for crops' growth. Soil organic matter content should be improved. At land preparation apply 2 tons/acre of well decomposed manure or compost. 
Cabbage: Top dress with 50 kg/acre of calcium ammonium nitrate (CAN) when seedlings are established and a second top dressing at the rate of 100 kg/acre when leaves start to fold. 
Kale: Top dress with 50 kg/acre of CAN when plants are 20 cm high followed by 50 kg/acre of CAN 3 weeks later. 
Tomato: At the start of flowering top dress with 80 kg/acre of CAN. At early fruiting stage top dress with 50 kg/acre of CAN."
Trans Nzoia,1.0581,34.9593,Tea,5.31,0.31,40.0,0.68,3.52,8.7,5.73,DAP,All fields have similar soil fertility condition. The soil pH is satisfactory for crops' growth. Soil phosphorus and zinc are deficient in Upper 318 field. The soil content of organic matter is sufficient. Broadcast on the ground 50 gm per bush of diammonium phosphate (DAP). Manure should be applied one debe (10 kg) per bush per year. Deficiency of zinc is corrected by foliar sprays of zinc sulphate.
Trans Nzoia,1.0581,34.9593,Tea,5.62,0.27,27.0,0.46,3.13,7.9,7.44,DAP,All fields have similar soil fertility condition. The soil pH is satisfactory for crops' growth. Soil phosphorus and zinc are deficient in Upper 318 field. The soil content of organic matter is sufficient. Broadcast on the ground 50 gm per bush of diammonium phosphate (DAP). Manure should be applied one debe (10 kg) per bush per year. Deficiency of zinc is corrected by foliar sprays of zinc sulphate.
Trans Nzoia,1.0581,34.9593,Tea,5.12,0.25,53.0,0.74,2.94,6.0,3.31,DAP,All fields have similar soil fertility condition. The soil pH is satisfactory for crops' growth. Soil phosphorus and zinc are deficient in Upper 318 field. The soil content of organic matter is sufficient. Broadcast on the ground 50 gm per bush of diammonium phosphate (DAP). Manure should be applied one debe (10 kg) per bush per year. Deficiency of zinc is corrected by foliar sprays of zinc sulphate.
Bungoma,0.5695,34.5584,Banana,5.56,0.08,275.0,1.08,0.76,4.3,2.3,CAN,"The soil pH is satisfactory for plants' growth. Nitrogen is deficient. Soil organic matter should be improved. 
Banana: At transplanting time apply a bucket of 20 kg of well decomposed manure or compost mixed well with 50 gm of calcium ammonium nitrate (CAN) and top soil per planting hole. Top dress with 100 gm of CAN per stool in year one and thereafter 100 gm of CAN per year at the beginning of rains. To determine the right amount of fertilizers, the soil should be tested annually. 
Coffee: At transplanting time apply a bucket of 20 kg of well decomposed manure or compost mixed well with 50 gm of CAN and top soil per planting hole. Top dress with 100 gm/tree of CAN in 3-4 equal applications per year. All nutrient material should be worked lightly with a fork jembe into the soil under a tree canopy.  To determine the right amount of fertilizers, the soil should be tested annually. 
Onion: At planting time apply along the drill line 5 tons/acre of well decomposed manure or compost and 50 kg/acre of CAN. Mix well with the soil. One month after planting top dress with 100 kg/acre of CAN."
Bungoma,0.5695,34.5584,Tomato,8.61,0.08,1.4,0.69,0.4,22.3,6.74,DAP,"All fields have similar soil fertility condition. The soil is very alkaline for plants' growth. Nitrogen, phosphorus and zinc are deficient. High values of electrical conductivity and sodium suggest the possibility of saline-sodic condition. The soil alkalinity may be reduced by applying 400 kg/acre of elemental sulphur. The addition of sulphur is usually accompanied by irrigation to get water into the soil and, with good drainage, to carry off the excess and to remove unwanted products of the reaction between the sulphur and the soil. The soil treatment should be done 3- 4 weeks before planting. 
Tomato: During the land preparation apply 5 tons/acre of well decomposed manure or compost. When transplanting apply 150 kg/acre of diammonium phosphate (DAP). Top dress with 50 kg/acre of ammonium sulphate (AS) when plants are 25 cm high. An application of 100 kg/acre of AS at the start of flowering is beneficial. 
Maize: During the land preparation apply 4 tons/acre of manure/compost. At planting time apply 150 kg/acre of DAP. When maize is about a knee high, top dress with 50 kg/acre of AS. 
Green grams: At planting apply 4 tons/acre of manure/compost and 150 kg/acre of DAP. "
Bungoma,0.5695,34.5584,Tomato,5.49,0.1,46.0,0.54,0.82,7.8,1.28,NPK 23:23:0,"The soil pH is satisfactory for crops' growth. Nitrogen is deficient. Soil organic matter should be improved. 
Tomato: Prior to transplanting apply 4 kg per square metre of well decomposed manure or compost. When transplanting apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. Topdress with 50 kg/acre of calcium ammonium nitrate (CAN) when plants are 25 cm high. An application of 100 kg/acre of CAN four weeks later is beneficial. 
Passion fruit: Mix the topsoil with a debe (10 kg) of well decomposed manure or compost, 100 gm of N:P:K 23:23:0 fill the planting hole with this mixture using extra topsoil if necessary. This should be done at least three weeks before transplanting. To stimulate the plant's growth apply 50 gm/plant of CAN one month after planting. 



"
Bungoma,0.5695,34.5584,Tomato,6.0,0.07,6.0,0.4,0.55,3.6,1.4,NPK 17:17:17,"The soil pH is satisfactory for crops' growth. Nitrogen, phosphorus and zinc are deficient. Soil potassium and organic matter should be improved. 
Tomato: In order to improve zinc and organic matter of the soil apply 4 kg/m2 of well decomposed manure or compost prior to transplanting. When transplanting, apply 120 kg/acre of compound fertilizer N:P:K 17:17:17. The fertilizer should be mixed well with the soil. Top-dress with 50 kg/acre of calcium ammonium nitrate (CAN) when plants are 25 cm high. An application of 100 kg/acre of CAN four weeks later is beneficial. 
Capsicum: Apply 4 tons/acre of well decomposed manure or compost. At transplanting apply 120 kg/acre of N:P:K 17:17:17. When plants are 15 cm high apply 50 kg/acre of CAN. Four weeks later apply 100 kg/acre of CAN. 
"
Trans Nzoia,1.0581,34.9593,Maize,4.79,0.24,15.0,0.24,2.33,1.0,1.93,NPK 17:17:17,"The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizer like DAP should be avoided. Phosphorus, calcium and zinc are deficient. Potassium is at deficiency threshold level. Soil organic matter should be improved. 
Maize: To raise soil pH and calcium content apply  through broadcasting 300 kg/acre of agricultural lime 3-4 weeks before planting. At land preparation apply 2 tons/acre of well decomposed manure or compost. At planting time apply 100 kg/acre of compound fertilizer N:P:K 17:17:17. When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN).   "
Uasin Gishu,0.5143,35.2697,Maize,3.92,0.28,25.0,0.8,2.72,2.7,1.13,DAP,"The soil reaction (pH) is very acidic for crops' growth. Hence, acidifying fertilizers like DAP and urea should be avoided. Phosphorus and zinc are deficient. Soil organic matter content is sufficient. To raise soil pH apply through broadcasting 800 kg/acre of dolomite (dolmax or magmax) 3-4 weeks before planting. 
Maize: At land preparation apply through broadcasting 1 ton/acre of well decomposed manure or compost in order to maintain adequate level of organic matter. Mix well with the soil. At planting time apply 100 kg/acre of single superphosphate (SSP). When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN). 
Fruit trees: At transplanting time apply 5 kg of well decomposed manure or compost mixed well with 100 gm of SSP and top soil per planting hole. Top dress 50 gm per tree of CAN in split applications 1-2 weeks after the onset of the rains. To correct zinc deficiency spray growing trees with a foliar feed, e.g. bayfolan. To determine the right amount of fertilizers, the soil should be tested annually. 
Passion fruits: Mix top soil with 5 kg of well decomposed manure or compost and 100 gm of SSP per planting hole. Fill the planting hole with this mixture using extra top soil if necessary. This should be done at least three weeks before transplanting. To stimulate the plants' growth top dress with 50 gm/plant of CAN. The fertilizer quantity should be split and applied 1-2 weeks after the onset of the rains."
Uasin Gishu,0.5143,35.2697,Fruit Trees,7.54,0.35,52.0,0.4,4.23,23.2,5.34,Manure / Compost,"The soil reaction (pH) is too alkaline for crops' growth.  Soil organic matter is sufficient. 
Fruit trees: The soil potassium content should be improved. At the beginning of rains apply 100 gm/ tree of sulphate of potash. The fertilizer quantity should be split and applied one or two weeks after the onset of the rains. Manure should be applied one bucket of 10 kg per tree per year. 
Baby corn: At planting time apply 1 ton/acre of well decomposed manure or compost. Top dress with ammonium sulphate (AS) at 80 kg/acre in 2 equal split applications at knee height after 1 month and when plants are about to flower. 
Peas: During the land preparation apply 1 ton/acre of well decomposed manure or compost. "
Bungoma,0.5695,34.5584,Maize,6.28,0.08,20.0,0.42,1.48,5.7,1.23,NPK 23:23:0,"The soil reaction (pH) is satisfactory for crops' growth. Nitrogen and phosphorus are deficient. Soil zinc and organic matter should be improved. 
Maize: During the land preparation apply 2 tons/acre of well decomposed manure or compost. At planting apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN).  "
Bungoma,0.5695,34.5584,Maize,6.62,0.09,26.0,0.28,1.52,6.9,1.05,NPK 17:17:17,"The soil reaction (pH) is satisfactory for crops' growth. Nitrogen and phosphorus are deficient. Potassium is at threshold level. Soil zinc and organic matter should be improved. 
Maize/ 
Beans: During the land preparation apply 2 tons/acre of well decomposed manure or compost. At planting apply 100 kg/acre of compound fertilizer N:P:K 17:17:17. When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN). "
Bungoma,0.5695,34.5584,Vegetables,5.57,0.15,18.0,0.42,1.8,11.5,2.33,NPK 23:23:0,"The soil reaction (pH) is satisfactory for crops' growth. Nitrogen and phosphorus are deficient. Soil organic matter should be improved. 
Vegetables: At transplanting time use 3 tons/acre of well decomposed manure or compost. Also apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. Top dress with 50 kg/acre of calcium ammonium nitrate (CAN) when plants are 20-25 cm high followed by 50 kg/acre of CAN 3-4 weeks later. 



"
Trans Nzoia,1.0581,34.9593,Potato,5.17,0.15,25.0,0.38,1.45,2.0,1.43,NPK 23:23:0,"The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus and zinc are deficient. Soil organic matter should be improved. 
Potato: At planting time apply in the ridge 2 tons/acre of well decomposed manure or compost and 100 kg/acre of compound fertilizer N:P:K 23:23:0. The manure and fertilizer should be well worked into the soil to avoid close contact with potato seeds. 
Beans: Apply 2 tons/acre of well decomposed manure or compost and 100 kg/acre of N:P:K 23:23:0 along the ridges before planting. Plant Rhizobia inoculated seeds (legumes) to encourage nitrogen fixation. 
Onion: At planting time apply along the drill line 2 tons/acre of well decomposed manure or compost and 100 kg/acre of N:P:K 23:23:0. One month after planting top dress with 80 kg/acre of calcium ammonium nitrate (CAN)."
Trans Nzoia,1.0581,34.9593,Maize,5.47,0.2,200.0,1.06,2.0,4.3,4.95,DAP,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Acidifying fertilizer like DAP should be avoided. Nitrogen and zinc are deficient. Soil organic matter should be improved. At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. 
Maize: At planting time apply 50 kg/acre of calcium ammonium nitrate (CAN). When maize is about a knee high, top dress with 80 kg/acre of CAN. 
Cabbage: At planting time apply 50 kg/acre of CAN. Top dress with 40 kg/acre of CAN when seedlings are established and a second top dressing at the rate of 80 kg/acre when leaves start to fold. 
Tomato: At planting time apply 50 kg/acre of CAN. At the start of flowering top dress with 80 kg/acre of CAN. At early fruiting stage top dress with 50 kg/acre of CAN.  "
Trans Nzoia,1.0581,34.9593,Maize,5.5,0.18,185.0,0.7,1.83,3.3,4.69,DAP,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Acidifying fertilizer like DAP should be avoided. Nitrogen and zinc are deficient. Soil organic matter should be improved. At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. 
Maize: At planting time apply 50 kg/acre of calcium ammonium nitrate (CAN). When maize is about a knee high, top dress with 80 kg/acre of CAN. 
Cabbage: At planting time apply 50 kg/acre of CAN. Top dress with 40 kg/acre of CAN when seedlings are established and a second top dressing at the rate of 80 kg/acre when leaves start to fold. 
Tomato: At planting time apply 50 kg/acre of CAN. At the start of flowering top dress with 80 kg/acre of CAN. At early fruiting stage top dress with 50 kg/acre of CAN.  "
Trans Nzoia,1.0581,34.9593,Maize,5.79,0.19,235.0,1.14,1.87,8.5,5.86,DAP,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Acidifying fertilizer like DAP should be avoided. Nitrogen and zinc are deficient. Soil organic matter should be improved. At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. 
Maize: At planting time apply 50 kg/acre of calcium ammonium nitrate (CAN). When maize is about a knee high, top dress with 80 kg/acre of CAN. 
Cabbage: At planting time apply 50 kg/acre of CAN. Top dress with 40 kg/acre of CAN when seedlings are established and a second top dressing at the rate of 80 kg/acre when leaves start to fold. 
Tomato: At planting time apply 50 kg/acre of CAN. At the start of flowering top dress with 80 kg/acre of CAN. At early fruiting stage top dress with 50 kg/acre of CAN.  "
Trans Nzoia,1.0581,34.9593,Maize,5.59,0.23,235.0,0.8,2.3,15.0,5.86,DAP,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Acidifying fertilizer like DAP should be avoided. Nitrogen and zinc are deficient. Soil organic matter should be improved. At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. 
Maize: At planting time apply 50 kg/acre of calcium ammonium nitrate (CAN). When maize is about a knee high, top dress with 80 kg/acre of CAN. 
Cabbage: At planting time apply 50 kg/acre of CAN. Top dress with 40 kg/acre of CAN when seedlings are established and a second top dressing at the rate of 80 kg/acre when leaves start to fold. 
Tomato: At planting time apply 50 kg/acre of CAN. At the start of flowering top dress with 80 kg/acre of CAN. At early fruiting stage top dress with 50 kg/acre of CAN.  "
Trans Nzoia,1.0581,34.9593,Maize,5.83,0.29,90.0,0.36,2.93,2.7,1.86,DAP,"The soil reaction (pH) is satisfactory for crops' growth. Acidifying fertilizer like DAP should be avoided. Soil organic matter is sufficient. At land preparation apply 1 ton/acre of well decomposed manure or compost in order to maintain adequate level of organic matter. Mix well with the soil. 
Maize: When maize is about a knee high, top dress with 80 kg/acre of CAN. 
Cabbage: Top dress with 40 kg/acre of CAN when seedlings are established and a second top dressing at the rate of 80 kg/acre when leaves start to fold. 
Tomato: At the start of flowering top dress with 80 kg/acre of CAN. At early fruiting stage top dress with 50 kg/acre of CAN.  "
Bungoma,0.5695,34.5584,Maize,5.94,0.11,18.0,0.75,1.14,1.7,4.87,NPK 23:23:0,"The soil reaction (pH) is satisfactory for crops' growth. Nitrogen, phosphorus and calcium are deficient. Soil organic matter should be improved. 
Maize: During the land preparation apply 4 tons/acre of well decomposed manure or compost. At planting time apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN). 
Beans: During the land preparation apply 4 tons/acre of manure or compost and 80 kg/acre of N:P:K 23:23:0. "
Bungoma,0.5695,34.5584,Maize,6.57,0.11,24.0,0.29,1.06,1.7,4.36,NPK 17:17:17,"The soil reaction (pH) is satisfactory for crops' growth. Nitrogen, phosphorus and calcium are deficient. Potassium is at threshold level. Soil organic matter should be improved. 
Maize: During the land preparation apply 4 tons/acre of well decomposed manure or compost. At planting time apply 100 kg/acre of compound fertilizer N:P:K 17:17:17. When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN). 
Beans: During the land preparation apply 4 tons/acre of manure or compost and 80 kg/acre of N:P:K 17:17:17. "
Bungoma,0.5695,34.5584,Maize,6.69,0.1,36.0,0.18,0.82,4.9,3.74,NPK 17:17:17,"The soil reaction (pH) is satisfactory for crops' growth. Nitrogen and potassium are deficient. Phosphorus is at threshold level. Soil organic matter should be improved. 
Maize: During the land preparation apply 4 tons/acre of well decomposed manure or compost. At planting time apply 100 kg/acre of compound fertilizer N:P:K 17:17:17. When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN). 
Beans: During the land preparation apply 4 tons/acre of manure or compost and 80 kg/acre of N:P:K 17:17:17. "
