county,crop,soil_pH,nitrogen,organic_carbon,phosphorus,potassium,fertilizer_Recommendation,target_fertilizer
Bungoma,Banana,5.56,0.08,0.76,275.0,1.08,"The soil pH is satisfactory for plants' growth. Nitrogen is deficient. Soil organic matter should be improved. 
Banana: At transplanting time apply a bucket of 20 kg of well decomposed manure or compost mixed well with 50 gm of calcium ammonium nitrate (CAN) and top soil per planting hole. Top dress with 100 gm of CAN per stool in year one and thereafter 100 gm of CAN per year at the beginning of rains. To determine the right amount of fertilizers, the soil should be tested annually. 
Coffee: At transplanting time apply a bucket of 20 kg of well decomposed manure or compost mixed well with 50 gm of CAN and top soil per planting hole. Top dress with 100 gm/tree of CAN in 3-4 equal applications per year. All nutrient material should be worked lightly with a fork jembe into the soil under a tree canopy.  To determine the right amount of fertilizers, the soil should be tested annually. 
Onion: At planting time apply along the drill line 5 tons/acre of well decomposed manure or compost and 50 kg/acre of CAN. Mix well with the soil. One month after planting top dress with 100 kg/acre of CAN.",CAN
Bungoma,Tomato,8.61,0.08,0.4,1.4,0.69,"All fields have similar soil fertility condition. The soil is very alkaline for plants' growth. Nitrogen, phosphorus and zinc are deficient. High values of electrical conductivity and sodium suggest the possibility of saline-sodic condition. The soil alkalinity may be reduced by applying 400 kg/acre of elemental sulphur. The addition of sulphur is usually accompanied by irrigation to get water into the soil and, with good drainage, to carry off the excess and to remove unwanted products of the reaction between the sulphur and the soil. The soil treatment should be done 3- 4 weeks before planting. 
Tomato: During the land preparation apply 5 tons/acre of well decomposed manure or compost. When transplanting apply 150 kg/acre of diammonium phosphate (DAP). Top dress with 50 kg/acre of ammonium sulphate (AS) when plants are 25 cm high. An application of 100 kg/acre of AS at the start of flowering is beneficial. 
Maize: During the land preparation apply 4 tons/acre of manure/compost. At planting time apply 150 kg/acre of DAP. When maize is about a knee high, top dress with 50 kg/acre of AS. 
Green grams: At planting apply 4 tons/acre of manure/compost and 150 kg/acre of DAP. ",DAP
Bungoma,Tomato,5.49,0.1,0.82,46.0,0.54,"The soil pH is satisfactory for crops' growth. Nitrogen is deficient. Soil organic matter should be improved. 
Tomato: Prior to transplanting apply 4 kg per square metre of well decomposed manure or compost. When transplanting apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. Topdress with 50 kg/acre of calcium ammonium nitrate (CAN) when plants are 25 cm high. An application of 100 kg/acre of CAN four weeks later is beneficial. 
Passion fruit: Mix the topsoil with a debe (10 kg) of well decomposed manure or compost, 100 gm of N:P:K 23:23:0 fill the planting hole with this mixture using extra topsoil if necessary. This should be done at least three weeks before transplanting. To stimulate the plant's growth apply 50 gm/plant of CAN one month after planting. 



",NPK 23:23:0
Bungoma,Tomato,6.0,0.07,0.55,6.0,0.4,"The soil pH is satisfactory for crops' growth. Nitrogen, phosphorus and zinc are deficient. Soil potassium and organic matter should be improved. 
Tomato: In order to improve zinc and organic matter of the soil apply 4 kg/m2 of well decomposed manure or compost prior to transplanting. When transplanting, apply 120 kg/acre of compound fertilizer N:P:K 17:17:17. The fertilizer should be mixed well with the soil. Top-dress with 50 kg/acre of calcium ammonium nitrate (CAN) when plants are 25 cm high. An application of 100 kg/acre of CAN four weeks later is beneficial. 
Capsicum: Apply 4 tons/acre of well decomposed manure or compost. At transplanting apply 120 kg/acre of N:P:K 17:17:17. When plants are 15 cm high apply 50 kg/acre of CAN. Four weeks later apply 100 kg/acre of CAN. 
",NPK 17:17:17
Trans Nzoia,Maize,4.79,0.24,2.33,15.0,0.24,"The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizer like DAP should be avoided. Phosphorus, calcium and zinc are deficient. Potassium is at deficiency threshold level. Soil organic matter should be improved. 
Maize: To raise soil pH and calcium content apply  through broadcasting 300 kg/acre of agricultural lime 3-4 weeks before planting. At land preparation apply 2 tons/acre of well decomposed manure or compost. At planting time apply 100 kg/acre of compound fertilizer N:P:K 17:17:17. When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN).   ",NPK 17:17:17
Uasin Gishu,Maize,3.92,0.28,2.72,25.0,0.8,"The soil reaction (pH) is very acidic for crops' growth. Hence, acidifying fertilizers like DAP and urea should be avoided. Phosphorus and zinc are deficient. Soil organic matter content is sufficient. To raise soil pH apply through broadcasting 800 kg/acre of dolomite (dolmax or magmax) 3-4 weeks before planting. 
Maize: At land preparation apply through broadcasting 1 ton/acre of well decomposed manure or compost in order to maintain adequate level of organic matter. Mix well with the soil. At planting time apply 100 kg/acre of single superphosphate (SSP). When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN). 
Fruit trees: At transplanting time apply 5 kg of well decomposed manure or compost mixed well with 100 gm of SSP and top soil per planting hole. Top dress 50 gm per tree of CAN in split applications 1-2 weeks after the onset of the rains. To correct zinc deficiency spray growing trees with a foliar feed, e.g. bayfolan. To determine the right amount of fertilizers, the soil should be tested annually. 
Passion fruits: Mix top soil with 5 kg of well decomposed manure or compost and 100 gm of SSP per planting hole. Fill the planting hole with this mixture using extra top soil if necessary. This should be done at least three weeks before transplanting. To stimulate the plants' growth top dress with 50 gm/plant of CAN. The fertilizer quantity should be split and applied 1-2 weeks after the onset of the rains.",DAP
Uasin Gishu,Fruit Trees,7.54,0.35,4.23,52.0,0.4,"The soil reaction (pH) is too alkaline for crops' growth.  Soil organic matter is sufficient. 
Fruit trees: The soil potassium content should be improved. At the beginning of rains apply 100 gm/ tree of sulphate of potash. The fertilizer quantity should be split and applied one or two weeks after the onset of the rains. Manure should be applied one bucket of 10 kg per tree per year. 
Baby corn: At planting time apply 1 ton/acre of well decomposed manure or compost. Top dress with ammonium sulphate (AS) at 80 kg/acre in 2 equal split applications at knee height after 1 month and when plants are about to flower. 
Peas: During the land preparation apply 1 ton/acre of well decomposed manure or compost. ",Manure / Compost
Bungoma,Maize,6.28,0.08,1.48,20.0,0.42,"The soil reaction (pH) is satisfactory for crops' growth. Nitrogen and phosphorus are deficient. Soil zinc and organic matter should be improved. 
Maize: During the land preparation apply 2 tons/acre of well decomposed manure or compost. At planting apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN).  ",NPK 23:23:0
Bungoma,Maize,6.62,0.09,1.52,26.0,0.28,"The soil reaction (pH) is satisfactory for crops' growth. Nitrogen and phosphorus are deficient. Potassium is at threshold level. Soil zinc and organic matter should be improved. 
Maize/ 
Beans: During the land preparation apply 2 tons/acre of well decomposed manure or compost. At planting apply 100 kg/acre of compound fertilizer N:P:K 17:17:17. When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN). ",NPK 17:17:17
Bungoma,Vegetables,5.57,0.15,1.8,18.0,0.42,"The soil reaction (pH) is satisfactory for crops' growth. Nitrogen and phosphorus are deficient. Soil organic matter should be improved. 
Vegetables: At transplanting time use 3 tons/acre of well decomposed manure or compost. Also apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. Top dress with 50 kg/acre of calcium ammonium nitrate (CAN) when plants are 20-25 cm high followed by 50 kg/acre of CAN 3-4 weeks later. 



",NPK 23:23:0
Trans Nzoia,Potato,5.17,0.15,1.45,25.0,0.38,"The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus and zinc are deficient. Soil organic matter should be improved. 
Potato: At planting time apply in the ridge 2 tons/acre of well decomposed manure or compost and 100 kg/acre of compound fertilizer N:P:K 23:23:0. The manure and fertilizer should be well worked into the soil to avoid close contact with potato seeds. 
Beans: Apply 2 tons/acre of well decomposed manure or compost and 100 kg/acre of N:P:K 23:23:0 along the ridges before planting. Plant Rhizobia inoculated seeds (legumes) to encourage nitrogen fixation. 
Onion: At planting time apply along the drill line 2 tons/acre of well decomposed manure or compost and 100 kg/acre of N:P:K 23:23:0. One month after planting top dress with 80 kg/acre of calcium ammonium nitrate (CAN).",NPK 23:23:0
Trans Nzoia,Maize,5.47,0.2,2.0,200.0,1.06,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Acidifying fertilizer like DAP should be avoided. Nitrogen and zinc are deficient. Soil organic matter should be improved. At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. 
Maize: At planting time apply 50 kg/acre of calcium ammonium nitrate (CAN). When maize is about a knee high, top dress with 80 kg/acre of CAN. 
Cabbage: At planting time apply 50 kg/acre of CAN. Top dress with 40 kg/acre of CAN when seedlings are established and a second top dressing at the rate of 80 kg/acre when leaves start to fold. 
Tomato: At planting time apply 50 kg/acre of CAN. At the start of flowering top dress with 80 kg/acre of CAN. At early fruiting stage top dress with 50 kg/acre of CAN.  ",DAP
Trans Nzoia,Maize,5.5,0.18,1.83,185.0,0.7,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Acidifying fertilizer like DAP should be avoided. Nitrogen and zinc are deficient. Soil organic matter should be improved. At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. 
Maize: At planting time apply 50 kg/acre of calcium ammonium nitrate (CAN). When maize is about a knee high, top dress with 80 kg/acre of CAN. 
Cabbage: At planting time apply 50 kg/acre of CAN. Top dress with 40 kg/acre of CAN when seedlings are established and a second top dressing at the rate of 80 kg/acre when leaves start to fold. 
Tomato: At planting time apply 50 kg/acre of CAN. At the start of flowering top dress with 80 kg/acre of CAN. At early fruiting stage top dress with 50 kg/acre of CAN.  ",DAP
Trans Nzoia,Maize,5.79,0.19,1.87,235.0,1.14,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Acidifying fertilizer like DAP should be avoided. Nitrogen and zinc are deficient. Soil organic matter should be improved. At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. 
Maize: At planting time apply 50 kg/acre of calcium ammonium nitrate (CAN). When maize is about a knee high, top dress with 80 kg/acre of CAN. 
Cabbage: At planting time apply 50 kg/acre of CAN. Top dress with 40 kg/acre of CAN when seedlings are established and a second top dressing at the rate of 80 kg/acre when leaves start to fold. 
Tomato: At planting time apply 50 kg/acre of CAN. At the start of flowering top dress with 80 kg/acre of CAN. At early fruiting stage top dress with 50 kg/acre of CAN.  ",DAP
Trans Nzoia,Maize,5.59,0.23,2.3,235.0,0.8,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Acidifying fertilizer like DAP should be avoided. Nitrogen and zinc are deficient. Soil organic matter should be improved. At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. 
Maize: At planting time apply 50 kg/acre of calcium ammonium nitrate (CAN). When maize is about a knee high, top dress with 80 kg/acre of CAN. 
Cabbage: At planting time apply 50 kg/acre of CAN. Top dress with 40 kg/acre of CAN when seedlings are established and a second top dressing at the rate of 80 kg/acre when leaves start to fold. 
Tomato: At planting time apply 50 kg/acre of CAN. At the start of flowering top dress with 80 kg/acre of CAN. At early fruiting stage top dress with 50 kg/acre of CAN.  ",DAP
Trans Nzoia,Maize,5.83,0.29,2.93,90.0,0.36,"The soil reaction (pH) is satisfactory for crops' growth. Acidifying fertilizer like DAP should be avoided. Soil organic matter is sufficient. At land preparation apply 1 ton/acre of well decomposed manure or compost in order to maintain adequate level of organic matter. Mix well with the soil. 
Maize: When maize is about a knee high, top dress with 80 kg/acre of CAN. 
Cabbage: Top dress with 40 kg/acre of CAN when seedlings are established and a second top dressing at the rate of 80 kg/acre when leaves start to fold. 
Tomato: At the start of flowering top dress with 80 kg/acre of CAN. At early fruiting stage top dress with 50 kg/acre of CAN.  ",DAP
Bungoma,Maize,5.94,0.11,1.14,18.0,0.75,"The soil reaction (pH) is satisfactory for crops' growth. Nitrogen, phosphorus and calcium are deficient. Soil organic matter should be improved. 
Maize: During the land preparation apply 4 tons/acre of well decomposed manure or compost. At planting time apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN). 
Beans: During the land preparation apply 4 tons/acre of manure or compost and 80 kg/acre of N:P:K 23:23:0. ",NPK 23:23:0
Bungoma,Maize,6.57,0.11,1.06,24.0,0.29,"The soil reaction (pH) is satisfactory for crops' growth. Nitrogen, phosphorus and calcium are deficient. Potassium is at threshold level. Soil organic matter should be improved. 
Maize: During the land preparation apply 4 tons/acre of well decomposed manure or compost. At planting time apply 100 kg/acre of compound fertilizer N:P:K 17:17:17. When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN). 
Beans: During the land preparation apply 4 tons/acre of manure or compost and 80 kg/acre of N:P:K 17:17:17. ",NPK 17:17:17
Bungoma,Maize,6.69,0.1,0.82,36.0,0.18,"The soil reaction (pH) is satisfactory for crops' growth. Nitrogen and potassium are deficient. Phosphorus is at threshold level. Soil organic matter should be improved. 
Maize: During the land preparation apply 4 tons/acre of well decomposed manure or compost. At planting time apply 100 kg/acre of compound fertilizer N:P:K 17:17:17. When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN). 
Beans: During the land preparation apply 4 tons/acre of manure or compost and 80 kg/acre of N:P:K 17:17:17. ",NPK 17:17:17
Bungoma,Maize,7.8,0.06,0.46,22.0,0.27,"The soil reaction (pH) is too alkaline for crops' growth. Nitrogen and phosphorus are deficient. Soil organic matter should be improved. 
Maize: During the land preparation apply 4 tons/acre of well decomposed manure or compost. At planting time apply 100 kg/acre of diammonium phosphate (DAP). When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN). ",DAP
Bungoma,Maize,6.9,0.1,0.87,14.0,0.29,"The soil reaction (pH) is satisfactory for crops' growth. Nitrogen and phosphorus are deficient. Potassium is at threshold level. Soil organic matter should be improved. 
Maize: During the land preparation apply 4 tons/acre of well decomposed manure or compost. At planting time apply 100 kg/acre of compound fertilizer N:P:K 17:17:17. When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN). 
Beans: During the land preparation apply 4 tons/acre of manure or compost and 100 kg/acre of N:P:K 17:17:17. ",NPK 17:17:17
Bungoma,Maize,6.38,0.1,0.84,13.0,0.14,"The soil reaction (pH) is satisfactory for crops' growth. Nitrogen, phosphorus, potassium and calcium are deficient. Soil organic matter should be improved. 
Maize: During the land preparation apply 4 tons/acre of well decomposed manure or compost. At planting time apply 100 kg/acre of compound fertilizer N:P:K 17:17:17. When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN). 
Beans: During the land preparation apply 4 tons/acre of manure or compost and 100 kg/acre of N:P:K 17:17:17. ",NPK 17:17:17
